0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:50:56 +0530] "GET /RegistrationLogin/dashboard.jsp?port_id=seller2 HTTP/1.1" 200 45467
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:50:57 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 23381
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:51:00 +0530] "GET /OrderManagement/ListOrdersServlet?seller_port_id=seller2 HTTP/1.1" 200 17158
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:51:04 +0530] "GET /RegistrationLogin/dashboard.jsp?port_id=seller2 HTTP/1.1" 200 45467
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:51:08 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 23381
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:51:12 +0530] "GET /OrderManagement/ListOrdersServlet?seller_port_id=seller2 HTTP/1.1" 200 17158
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:57:39 +0530] "GET /OrderManagement/ListOrdersServlet?seller_port_id=seller2 HTTP/1.1" 200 17158
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:57:42 +0530] "GET /ProductManagement/ProductServlet HTTP/1.1" 200 22322
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:58:19 +0530] "POST /ProductManagement/ProductServlet HTTP/1.1" 200 23201
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:58:53 +0530] "POST /ProductManagement/ProductServlet HTTP/1.1" 200 23200
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:59:01 +0530] "POST /ProductManagement/ProductServlet HTTP/1.1" 200 22468
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:59:07 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 23381
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:59:09 +0530] "GET /OrderManagement/ListOrdersServlet?seller_port_id=seller2 HTTP/1.1" 200 17158
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:59:12 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 23381
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:59:13 +0530] "GET /ProductManagement/ProductServlet HTTP/1.1" 200 22322
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:59:22 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 23381
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:01:35 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 23351
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:02:13 +0530] "GET /OrderManagement/ListOrdersServlet?seller_port_id=seller2 HTTP/1.1" 200 17158
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:02:23 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 23351
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:04:05 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 23559
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:07:04 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 24001
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:08:08 +0530] "POST /Report_product/ResolveReportServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:08:08 +0530] "GET /Report_product/ReportedProductsServlet?filter=all HTTP/1.1" 200 23249
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:09:04 +0530] "GET /Report_product/ReportedProductsServlet?filter=all HTTP/1.1" 200 23494
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:09:47 +0530] "GET /Report_product/ReportedProductsServlet?filter=all HTTP/1.1" 200 23914
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:10:30 +0530] "GET /Report_product/ReportedProductsServlet?filter=all HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:11:34 +0530] "GET /ProfileManagement/ProfileController?port_id=seller2 HTTP/1.1" 200 10129
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:11:36 +0530] "GET /ProductManagement/ProductServlet HTTP/1.1" 200 22322
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:11:39 +0530] "GET /OrderManagement/ListOrdersServlet?seller_port_id=seller2 HTTP/1.1" 200 17158
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:11:42 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 24233
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:11:43 +0530] "GET /ProfileManagement/ProfileController?port_id=seller2 HTTP/1.1" 200 10129
0:0:0:0:0:0:0:1 - - [30/Jan/2026:15:11:58 +0530] "GET /RegistrationLogin/dashboard.jsp?port_id=seller2 HTTP/1.1" 200 45467
